Deut.23.15	Deut.23.16
Deut.23.16	Deut.23.17
Deut.23.17	Deut.23.18
Deut.23.18	Deut.23.19
Deut.23.19	Deut.23.20
Deut.23.20	Deut.23.21
Deut.23.21	Deut.23.22
Deut.23.22	Deut.23.23
Deut.23.23	Deut.23.24
Deut.23.24	Deut.23.25
Deut.23.25	Deut.23.26
Deut.29.1	Deut.28.69
Deut.29.2	Deut.29.1
Deut.29.3	Deut.29.2
Deut.29.4	Deut.29.3
Deut.29.5	Deut.29.4
Deut.29.6	Deut.29.5
Deut.29.7	Deut.29.6
Deut.29.8	Deut.29.7
Deut.29.9	Deut.29.8
Deut.29.10	Deut.29.9
Deut.29.11	Deut.29.10
Deut.29.12	Deut.29.11
Deut.29.13	Deut.29.12
Deut.29.14	Deut.29.13
Deut.29.15	Deut.29.14
Deut.29.16	Deut.29.15
Deut.29.17	Deut.29.16
Deut.29.18	Deut.29.17
Deut.29.19	Deut.29.18
Deut.29.20	Deut.29.19
Deut.29.21	Deut.29.20
Deut.29.22	Deut.29.21
Deut.29.23	Deut.29.22
Deut.29.24	Deut.29.23
Deut.29.25	Deut.29.24
Deut.29.26	Deut.29.25
Deut.29.27	Deut.29.26
Deut.29.28	Deut.29.27
Deut.29.29	Deut.29.28
1Sam	1Kgdms
1Sam.20.42	1Kgdms.20.41
1Sam.21.1	1Kgdms.21.2
1Sam.21.2	1Kgdms.21.3
1Sam.21.3	1Kgdms.21.4
1Sam.21.4	1Kgdms.21.5
1Sam.21.5	1Kgdms.21.6
1Sam.21.6	1Kgdms.21.7
1Sam.21.7	1Kgdms.21.8
1Sam.21.8	1Kgdms.21.9
1Sam.21.9	1Kgdms.21.10
1Sam.21.10	1Kgdms.21.11
1Sam.21.11	1Kgdms.21.12
1Sam.21.12	1Kgdms.21.13
1Sam.21.13	1Kgdms.21.14
1Sam.21.14	1Kgdms.21.15
1Sam.21.15	1Kgdms.21.16
1Sam.23.28	1Kgdms.24.1
1Sam.23.29	1Kgdms.24.1
1Sam.24.1	1Kgdms.24.2
1Sam.24.2	1Kgdms.24.3
1Sam.24.3	1Kgdms.24.4
1Sam.24.4	1Kgdms.24.5
1Sam.24.5	1Kgdms.24.6
1Sam.24.6	1Kgdms.24.7
1Sam.24.7	1Kgdms.24.8
1Sam.24.8	1Kgdms.24.9
1Sam.24.9	1Kgdms.24.10
1Sam.24.10	1Kgdms.24.11
1Sam.24.11	1Kgdms.24.12
1Sam.24.12	1Kgdms.24.13
1Sam.24.13	1Kgdms.24.14
1Sam.24.14	1Kgdms.24.15
1Sam.24.15	1Kgdms.24.16
1Sam.24.16	1Kgdms.24.17
1Sam.24.17	1Kgdms.24.18
1Sam.24.18	1Kgdms.24.19
1Sam.24.19	1Kgdms.24.20
1Sam.24.20	1Kgdms.24.21
1Sam.24.21	1Kgdms.24.22
1Sam.24.22	1Kgdms.24.23
2Sam	2Kgdms
2Sam.18.33	2Kgdms.19.1
2Sam.19.1	2Kgdms.19.2
2Sam.19.2	2Kgdms.19.3
2Sam.19.3	2Kgdms.19.4
2Sam.19.4	2Kgdms.19.5
2Sam.19.5	2Kgdms.19.6
2Sam.19.6	2Kgdms.19.7
2Sam.19.7	2Kgdms.19.8
2Sam.19.8	2Kgdms.19.9
2Sam.19.9	2Kgdms.19.10
2Sam.19.10	2Kgdms.19.11
2Sam.19.11	2Kgdms.19.12
2Sam.19.12	2Kgdms.19.13
2Sam.19.13	2Kgdms.19.14
2Sam.19.14	2Kgdms.19.15
2Sam.19.15	2Kgdms.19.16
2Sam.19.16	2Kgdms.19.17
2Sam.19.17	2Kgdms.19.18
2Sam.19.18	2Kgdms.19.19
2Sam.19.19	2Kgdms.19.20
2Sam.19.20	2Kgdms.19.21
2Sam.19.21	2Kgdms.19.22
2Sam.19.22	2Kgdms.19.23
2Sam.19.23	2Kgdms.19.24
2Sam.19.24	2Kgdms.19.25
2Sam.19.25	2Kgdms.19.26
2Sam.19.26	2Kgdms.19.27
2Sam.19.27	2Kgdms.19.28
2Sam.19.28	2Kgdms.19.29
2Sam.19.29	2Kgdms.19.30
2Sam.19.30	2Kgdms.19.31
2Sam.19.31	2Kgdms.19.32
2Sam.19.32	2Kgdms.19.33
2Sam.19.33	2Kgdms.19.34
2Sam.19.34	2Kgdms.19.35
2Sam.19.35	2Kgdms.19.36
2Sam.19.36	2Kgdms.19.37
2Sam.19.37	2Kgdms.19.38
2Sam.19.38	2Kgdms.19.39
2Sam.19.39	2Kgdms.19.40
2Sam.19.40	2Kgdms.19.41
2Sam.19.41	2Kgdms.19.42
2Sam.19.42	2Kgdms.19.43
2Sam.19.43	2Kgdms.19.44
1Kgs	3Kgdms
1Kgs.4.21	3Kgdms.5.1
1Kgs.4.22	3Kgdms.5.2
1Kgs.4.23	3Kgdms.5.3
1Kgs.4.24	3Kgdms.5.4
1Kgs.4.25	3Kgdms.5.5
1Kgs.4.26	3Kgdms.5.6
1Kgs.4.27	3Kgdms.5.7
1Kgs.4.28	3Kgdms.5.8
1Kgs.4.29	3Kgdms.5.9
1Kgs.4.30	3Kgdms.5.10
1Kgs.4.31	3Kgdms.5.11
1Kgs.4.32	3Kgdms.5.12
1Kgs.4.33	3Kgdms.5.13
1Kgs.4.34	3Kgdms.5.14
1Kgs.5.1	3Kgdms.5.15
1Kgs.5.2	3Kgdms.5.16
1Kgs.5.3	3Kgdms.5.17
1Kgs.5.4	3Kgdms.5.18
1Kgs.5.5	3Kgdms.5.19
1Kgs.5.6	3Kgdms.5.20
1Kgs.5.7	3Kgdms.5.21
1Kgs.5.8	3Kgdms.5.22
1Kgs.5.9	3Kgdms.5.23
1Kgs.5.10	3Kgdms.5.24
1Kgs.5.11	3Kgdms.5.25
1Kgs.5.12	3Kgdms.5.26
1Kgs.5.13	3Kgdms.5.27
1Kgs.5.14	3Kgdms.5.28
1Kgs.5.15	3Kgdms.5.29
1Kgs.5.16	3Kgdms.5.30
1Kgs.5.17	3Kgdms.5.31
1Kgs.5.18	3Kgdms.5.32
1Kgs.22.43	3Kgdms.22.44
1Kgs.22.44	3Kgdms.22.45
1Kgs.22.45	3Kgdms.22.46
1Kgs.22.46	3Kgdms.22.47
1Kgs.22.47	3Kgdms.22.48
1Kgs.22.48	3Kgdms.22.49
1Kgs.22.49	3Kgdms.22.50
1Kgs.22.50	3Kgdms.22.51
1Kgs.22.51	3Kgdms.22.52
1Kgs.22.52	3Kgdms.22.53
1Kgs.22.53	3Kgdms.22.54
2Kgs	4Kgdms
2Kgs.11.21	4Kgdms.12.1
2Kgs.12.1	4Kgdms.12.2
2Kgs.12.2	4Kgdms.12.3
2Kgs.12.3	4Kgdms.12.4
2Kgs.12.4	4Kgdms.12.5
2Kgs.12.5	4Kgdms.12.6
2Kgs.12.6	4Kgdms.12.7
2Kgs.12.7	4Kgdms.12.8
2Kgs.12.8	4Kgdms.12.9
2Kgs.12.9	4Kgdms.12.10
2Kgs.12.10	4Kgdms.12.11
2Kgs.12.11	4Kgdms.12.12
2Kgs.12.12	4Kgdms.12.13
2Kgs.12.13	4Kgdms.12.14
2Kgs.12.14	4Kgdms.12.15
2Kgs.12.15	4Kgdms.12.16
2Kgs.12.16	4Kgdms.12.17
2Kgs.12.17	4Kgdms.12.18
2Kgs.12.18	4Kgdms.12.19
2Kgs.12.19	4Kgdms.12.20
2Kgs.12.20	4Kgdms.12.21
2Kgs.12.21	4Kgdms.12.22
1Chr.6.1	1Chr.5.27
1Chr.6.2	1Chr.5.28
1Chr.6.3	1Chr.5.29
1Chr.6.4	1Chr.5.30
1Chr.6.5	1Chr.5.31
1Chr.6.6	1Chr.5.32
1Chr.6.7	1Chr.5.33
1Chr.6.8	1Chr.5.34
1Chr.6.9	1Chr.5.35
1Chr.6.10	1Chr.5.36
1Chr.6.11	1Chr.5.37
1Chr.6.12	1Chr.5.38
1Chr.6.13	1Chr.5.39
1Chr.6.14	1Chr.5.40
1Chr.6.15	1Chr.5.41
1Chr.6.16	1Chr.6.1
1Chr.6.17	1Chr.6.2
1Chr.6.18	1Chr.6.3
1Chr.6.19	1Chr.6.4
1Chr.6.20	1Chr.6.5
1Chr.6.21	1Chr.6.6
1Chr.6.22	1Chr.6.7
1Chr.6.23	1Chr.6.8
1Chr.6.24	1Chr.6.9
1Chr.6.25	1Chr.6.10
1Chr.6.26	1Chr.6.11
1Chr.6.27	1Chr.6.12
1Chr.6.28	1Chr.6.13
1Chr.6.29	1Chr.6.14
1Chr.6.30	1Chr.6.15
1Chr.6.31	1Chr.6.16
1Chr.6.32	1Chr.6.17
1Chr.6.33	1Chr.6.18
1Chr.6.34	1Chr.6.19
1Chr.6.35	1Chr.6.20
